"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3702","RT @TheWCS: Can Asia’s Horses Catch the Bird Flu? WCS Co-Authored Paper in PLOS Pathogens: https://t.co/w5qdp04EFR - #VirusEcology #VirusEv…",FALSE,0,NA,2019-02-27 18:22:24,FALSE,NA,"1100823479107100672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZBSeyed",4,TRUE,FALSE,NA,NA
"3703","#Vaccination does not guarantee immunity. Many do not respond to their vaccines and immunity wanes within 2-15 year… https://t.co/6iN7K6p3PV",FALSE,1,NA,2019-02-27 18:22:15,TRUE,NA,"1100823443048677377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beasonsaver",0,FALSE,FALSE,NA,NA
"3704","RT @picphysicians: Do you know how a vaccine can induce an autoimmune reaction? Have you ever experienced this and, if so, from what vaccin…",FALSE,0,NA,2019-02-27 18:20:27,FALSE,NA,"1100822990231666689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beasonsaver",16,TRUE,FALSE,NA,NA
"3705","This concludes my #influenza TweetStorm!",FALSE,2,"PEMTweets",2019-02-27 18:18:21,FALSE,"1100822373983494144","1100822460969218048","215996376","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PEMTweets",0,FALSE,FALSE,NA,NA
"3706","I've also done a podcast on testing for the #flu https://t.co/sHlXZR2PN7",FALSE,2,"PEMTweets",2019-02-27 18:18:00,FALSE,"1100822219926716417","1100822373983494144","215996376","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PEMTweets",0,FALSE,FALSE,NA,NA
"3707","Check out the CDC #influenza page for a wealth of information https://t.co/18wxQtJjDj",FALSE,2,"PEMTweets",2019-02-27 18:17:24,FALSE,"1100821722041929730","1100822219926716417","215996376","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PEMTweets",0,FALSE,FALSE,NA,NA
"3708","Rapid #flu tests reduce #antibiotic prescriptions, additional visits https://t.co/pxrU3CG5BW… https://t.co/FVRq9g8H9P",FALSE,0,NA,2019-02-27 18:17:08,TRUE,NA,"1100822155967766528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PedUrgentCare",0,FALSE,FALSE,NA,NA
"3709","RT @EBmedicine: #Tamiflu (oseltamivir) is the most common ""treatment"" for #influenza, and a 2015 meta-analysis  found a 21% shorter time to…",FALSE,0,NA,2019-02-27 18:17:01,FALSE,NA,"1100822124669878272",NA,"<a href=""https://meta-evidence.co.uk"" rel=""nofollow"">Systematic Review Bot</a>","EvidenceRobot",1,TRUE,FALSE,NA,NA
"3710","Keep yourself healthy this time of year, so many have been out sick recently. If you do get the flu, remember that… https://t.co/qJWeKLCyIE",FALSE,0,NA,2019-02-27 18:16:00,TRUE,NA,"1100821868364337152",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kporterEHS",0,FALSE,FALSE,NA,NA
"3711","#Tamiflu (oseltamivir) is the most common ""treatment"" for #influenza, and a 2015 meta-analysis  found a 21% shorter… https://t.co/pLoK804bz9",FALSE,0,NA,2019-02-27 18:15:13,TRUE,NA,"1100821673832521738",NA,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>","EBmedicine",1,FALSE,FALSE,NA,NA
"3712","RT @PEMTweets: Parents may be discouraged with a long wait time only to be told “it may/may not be the #flu, there is not much we can do, w…",FALSE,0,NA,2019-02-27 18:15:04,FALSE,NA,"1100821634867445760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrBramPedsER",1,TRUE,FALSE,NA,NA
"3713","RT @PEMTweets: Know that parents presenting to the ED who are concerned that their child has the #flu will be scared, and worried and perce…",FALSE,0,NA,2019-02-27 18:15:02,FALSE,NA,"1100821625816141824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrBramPedsER",1,TRUE,FALSE,NA,NA
"3714","#Nayarit registra 84 casos de #influenza #H1N1, #Compostela presenta la mayoría de los casos https://t.co/0V5pAFy1WG",FALSE,0,NA,2019-02-27 18:13:08,FALSE,NA,"1100821148940537856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MeganoticiasTEP",0,FALSE,FALSE,NA,NA
"3715","Influenza vaccination averted 7.1 million cases of #flu and 8,000 deaths during the 2017-2018 flu season! #ACIP https://t.co/ZpDivKnbIj",FALSE,0,NA,2019-02-27 18:11:08,FALSE,NA,"1100820644760043521",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ImmunizeCOKids",0,FALSE,FALSE,NA,NA
"3716","Pharmacy Flu Jabs - The biggest Flu Jab Directory in the UK. Have you added your pharmacy to it?
-
#flu #flujab… https://t.co/3nCrn71Sf8",FALSE,0,NA,2019-02-27 18:06:02,TRUE,NA,"1100819361433030656",NA,"<a href=""https://www.socialreport.com"" rel=""nofollow"">SocialReport.com</a>","pharmacymentor",0,FALSE,FALSE,NA,NA
"3717","Q: Why is our child not receiving treatment for #influenza?
A: Every medicine has risks &amp; benefits - antivirals hav… https://t.co/4zGcM8giU8",FALSE,1,"PEMTweets",2019-02-27 18:05:23,TRUE,"1100818753179316225","1100819196932435968","215996376","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PEMTweets",0,FALSE,FALSE,NA,NA
"3718","Q: Why is our child not being tested for #influenza?
A: Our test (EXPLAIN YOUR TEST) is only run when the result is… https://t.co/ZCTFEXHEj4",FALSE,1,"PEMTweets",2019-02-27 18:03:37,TRUE,"1100817114938703884","1100818753179316225","215996376","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PEMTweets",0,FALSE,FALSE,NA,NA
"3719","RT @bcbssc: The #CommonCold and the #Flu can be tricky to tell apart. Both are caused by viruses and are contagious, but the flu can have l…",FALSE,0,NA,2019-02-27 18:03:23,FALSE,NA,"1100818694987542532",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BlondeScientist",2,TRUE,FALSE,NA,NA
